organisationunitid,organisationunituid,name,level,uidlevel1,level1name,uidlevel2,level2name,uidlevel3,level3name,uidlevel4,level4name,uidlevel5,level5name,uidlevel6,level6name,uidlevel7,level7name,code
41337765,jvTXjNl8bOQ,Buwenda (Butenga) Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,icb6bhJZm7s,Butenga Subcounty,jvTXjNl8bOQ,Buwenda (Butenga) Health Centre II,
41337807,Lg6wSNfRcgp,Eva Domiciliary Clinic Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,icb6bhJZm7s,Butenga Subcounty,Lg6wSNfRcgp,Eva Domiciliary Clinic Health Centre II,
2166463,SPbzwVcvMJY,Kabigi Muslim Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,icb6bhJZm7s,Butenga Subcounty,SPbzwVcvMJY,Kabigi Muslim Health Centre II,p.ug.DHIS2.ajaZHwTza6B
2166464,h7D4kiRTfHm,Kawoko Muslim Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,icb6bhJZm7s,Butenga Subcounty,h7D4kiRTfHm,Kawoko Muslim Health Centre III,p.ug.DHIS2.A7BAVMsywaQ
2165110,q0Wo0aF2MDK,Luyitayita Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,icb6bhJZm7s,Butenga Subcounty,q0Wo0aF2MDK,Luyitayita Health Centre II,p.ug.DHIS2.NCu3t93AIns
2151042,icb6bhJZm7s,Butenga Subcounty,6,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,icb6bhJZm7s,Butenga Subcounty,,,p.ug.4.Butenga Subcounty
2166911,wIjMBahPVX9,Buyoga Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,Db96sTSi1xg,Kibinge Subcounty,wIjMBahPVX9,Buyoga Health Centre III,p.ug.DHIS2.RlulmyGd2XY
2165267,x17Gaye3hF9,Kagoggo Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,Db96sTSi1xg,Kibinge Subcounty,x17Gaye3hF9,Kagoggo Health Centre II,p.ug.DHIS2.hkoHNZAApbg
41337877,v0AQ3MvdQ7v,Kambi Clinic Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,Db96sTSi1xg,Kibinge Subcounty,v0AQ3MvdQ7v,Kambi Clinic Health Centre II,
2171107,GOQqWNmOYuc,Kisojjo Health Centre II GOVT,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,Db96sTSi1xg,Kibinge Subcounty,GOQqWNmOYuc,Kisojjo Health Centre II GOVT,p.ug.DHIS2.ogD8wXFjIUD
43991224,FfRUNpminSh,Legacy Medical Center HCII,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,Db96sTSi1xg,Kibinge Subcounty,FfRUNpminSh,Legacy Medical Center HCII,
2166910,R2Gq83CQIBP,Mirambi Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,Db96sTSi1xg,Kibinge Subcounty,R2Gq83CQIBP,Mirambi Health Centre III,p.ug.DHIS2.RWEo3tF0K1h
43991309,qFwHQWzaYRN,Mwebaza Domiciliary Clinic HCII,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,Db96sTSi1xg,Kibinge Subcounty,qFwHQWzaYRN,Mwebaza Domiciliary Clinic HCII,
2150322,Db96sTSi1xg,Kibinge Subcounty,6,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,Db96sTSi1xg,Kibinge Subcounty,,,p.ug.4.Kibinge Subcounty
2165354,bO4icB7tfxu,Kitanda Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,Uxsmr4iz4DL,Kitanda Subcounty,bO4icB7tfxu,Kitanda Health Centre III,p.ug.DHIS2.aULXp2H2LGI
45154053,KIiHUDqDc2o,Kitanda Prison Clinic,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,Uxsmr4iz4DL,Kitanda Subcounty,KIiHUDqDc2o,Kitanda Prison Clinic,
45154004,FauUrMhXWJF,Kitanda Prison Clinic,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,Uxsmr4iz4DL,Kitanda Subcounty,FauUrMhXWJF,Kitanda Prison Clinic,
2166992,crJG1swQlyz,Makuukulu Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,Uxsmr4iz4DL,Kitanda Subcounty,crJG1swQlyz,Makuukulu Health Centre III,p.ug.DHIS2.GUlztXJ4MRg
43991408,ge3lyfe8gH6,St. Jude Domiciliary Clinic HCII,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,Uxsmr4iz4DL,Kitanda Subcounty,ge3lyfe8gH6,St. Jude Domiciliary Clinic HCII,
2151043,Uxsmr4iz4DL,Kitanda Subcounty,6,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,Uxsmr4iz4DL,Kitanda Subcounty,,,p.ug.4.Kitanda Subcounty
2141804,ZqIdMKJYNyc,Bukomansimbi District,5,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,ZqIdMKJYNyc,Bukomansimbi District,,,,,p.ug.3.Bukomansimbi District
2164889,IlhKxQRe1cD,Kibugga Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,y1FYajAx2ov,Budde Subcounty,IlhKxQRe1cD,Kibugga Health Centre II,p.ug.DHIS2.aP3vXWciBlE
2164891,ufN7HvZoVvU,Kyabadaza Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,y1FYajAx2ov,Budde Subcounty,ufN7HvZoVvU,Kyabadaza Health Centre III,p.ug.DHIS2.qYIh49gM216
2161305,y1FYajAx2ov,Budde Subcounty,6,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,y1FYajAx2ov,Budde Subcounty,,,p.ug.4.Budde Subcounty
2165018,EVflM9MbkGL,Bulo clinic Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,EKkNME26Dkg,Bulo Subcounty,EVflM9MbkGL,Bulo clinic Health Centre II,p.ug.DHIS2.v6KdyypBQBB
2168723,wLHVEI7kCTY,Bulo Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,EKkNME26Dkg,Bulo Subcounty,wLHVEI7kCTY,Bulo Health Centre III,p.ug.DHIS2.laPnCXSZ0Oo
2166411,qT6jJpyOXi4,MARIA ASSUMPTA Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,EKkNME26Dkg,Bulo Subcounty,qT6jJpyOXi4,MARIA ASSUMPTA Health Centre III,p.ug.DHIS2.F3r8Fr87Bnx
2165017,Ho6Pzibd7qV,Sanyu Domicilliary Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,EKkNME26Dkg,Bulo Subcounty,Ho6Pzibd7qV,Sanyu Domicilliary Health Centre II,p.ug.DHIS2.U5TE1ItzA0v
2150340,EKkNME26Dkg,Bulo Subcounty,6,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,EKkNME26Dkg,Bulo Subcounty,,,p.ug.4.Bulo Subcounty
2165175,bt54qD5hHgu,Gombe HOSPITAL,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,w0Usg28mrQI,Gombe Town council,bt54qD5hHgu,Gombe HOSPITAL,p.ug.DHIS2.xuCJ8NBomxP
2166535,GZL7oPS0XMz,Ntolomwe Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,w0Usg28mrQI,Gombe Town council,GZL7oPS0XMz,Ntolomwe Health Centre II,p.ug.DHIS2.oglrek2bw9A
2150331,w0Usg28mrQI,Gombe Town council,6,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,w0Usg28mrQI,Gombe Town council,,,p.ug.4.Gombe Town council
2171061,KyelV1r2jM9,Butambala Epi Centre Health Centre III GOVT,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,RopWxqe4Iha,Kalamba Subcounty,KyelV1r2jM9,Butambala Epi Centre Health Centre III GOVT,p.ug.DHIS2.E1TxjBqAvWB
2166672,YCQERKaBMen,Kabasanda Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,RopWxqe4Iha,Kalamba Subcounty,YCQERKaBMen,Kabasanda Health Centre II,p.ug.DHIS2.BE5LiYZjBvM
45154005,Sg4tgQqRe0Z,Kabasanda  Prison HC II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,RopWxqe4Iha,Kalamba Subcounty,Sg4tgQqRe0Z,Kabasanda  Prison HC II,
45154023,ZccwtjwsW4q,Kabasanda Prison HC II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,RopWxqe4Iha,Kalamba Subcounty,ZccwtjwsW4q,Kabasanda Prison HC II,
2170137,LQBKYULMxkW,Kalamba Community Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,RopWxqe4Iha,Kalamba Subcounty,LQBKYULMxkW,Kalamba Community Health Centre II,p.ug.DHIS2.aDGztjb0S7j
2169102,VdzhNqS8lvr,Kilokola Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,RopWxqe4Iha,Kalamba Subcounty,VdzhNqS8lvr,Kilokola Health Centre II,p.ug.DHIS2.jSTIbH5xzbW
2169120,bCELehVWYTa,Kitimba Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,RopWxqe4Iha,Kalamba Subcounty,bCELehVWYTa,Kitimba Health Centre III,p.ug.DHIS2.O4sKsWoxekL
2169101,VyHCnmJoXLo,Nsozibirye Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,RopWxqe4Iha,Kalamba Subcounty,VyHCnmJoXLo,Nsozibirye Health Centre II,p.ug.DHIS2.J5ZGPIn0Opf
2169100,dbPOyiL16vv,Savio Medical Centre Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,RopWxqe4Iha,Kalamba Subcounty,dbPOyiL16vv,Savio Medical Centre Health Centre II,p.ug.DHIS2.gxpqLAdym0H
2151092,RopWxqe4Iha,Kalamba Subcounty,6,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,RopWxqe4Iha,Kalamba Subcounty,,,p.ug.4.Kalamba Subcounty
2165263,gCxsje3eneW,Butaaka Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,QxOmkV0VvGp,Kibibi Subcounty,gCxsje3eneW,Butaaka Health Centre II,p.ug.DHIS2.lxS0qhIRkQv
2171106,llSBrxsADDT,Kawonawo Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,QxOmkV0VvGp,Kibibi Subcounty,llSBrxsADDT,Kawonawo Health Centre II,p.ug.DHIS2.yVfysxEDePw
2170221,dP9wcQSEcWV,Kibibi Nursing Home Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,QxOmkV0VvGp,Kibibi Subcounty,dP9wcQSEcWV,Kibibi Nursing Home Health Centre III,p.ug.DHIS2.gr1CRYxuJmr
2166906,BUj4700ZXre,Kiziiko Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,QxOmkV0VvGp,Kibibi Subcounty,BUj4700ZXre,Kiziiko Health Centre II,p.ug.DHIS2.FI11C32LNK8
2150332,QxOmkV0VvGp,Kibibi Subcounty,6,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,QxOmkV0VvGp,Kibibi Subcounty,,,p.ug.4.Kibibi Subcounty
2166049,W5SyUpG9KnJ,Bugobango Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,gnBDoiUeBy1,Ngando Subcounty,W5SyUpG9KnJ,Bugobango Health Centre II,p.ug.DHIS2.a93zYnWO0cT
2166050,JxDgqBSHVI2,Butende Health Centre II GOVT,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,gnBDoiUeBy1,Ngando Subcounty,JxDgqBSHVI2,Butende Health Centre II GOVT,p.ug.DHIS2.kMZGxkg0VmA
2169949,Fm5Ij6aF6r4,Kidawalime Nursing Home Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,gnBDoiUeBy1,Ngando Subcounty,Fm5Ij6aF6r4,Kidawalime Nursing Home Health Centre II,p.ug.DHIS2.gt954ahlttH
2167443,AUsZt1Z3wdH,Ngando Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,gnBDoiUeBy1,Ngando Subcounty,AUsZt1Z3wdH,Ngando Health Centre III,p.ug.DHIS2.lH80zq7z1Hg
2150333,gnBDoiUeBy1,Ngando Subcounty,6,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,gnBDoiUeBy1,Ngando Subcounty,,,p.ug.4.Ngando Subcounty
2141806,Quu8PXwIv8m,Butambala District,5,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,Quu8PXwIv8m,Butambala District,,,,,p.ug.3.Butambala District
2166620,uPPOvWEbDSa,Bukalagi Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,I9I7WFHjAte,Gomba District,c2EiUXLEpFC,Kabulasoke Subcounty,uPPOvWEbDSa,Bukalagi Health Centre III,p.ug.DHIS2.tw7g2aShrXi
2168998,HYerEMxJ8xX,Bulwadda Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,I9I7WFHjAte,Gomba District,c2EiUXLEpFC,Kabulasoke Subcounty,HYerEMxJ8xX,Bulwadda Health Centre II,p.ug.DHIS2.QLJmdTgkB3N
2166619,bb9zj1VOyaD,Kifampa Health Centre III,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,I9I7WFHjAte,Gomba District,c2EiUXLEpFC,Kabulasoke Subcounty,bb9zj1VOyaD,Kifampa Health Centre III,p.ug.DHIS2.gMSnZfci97x
2168977,llfvfHywC2L,Kisozi Health Centre III GOVT,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,I9I7WFHjAte,Gomba District,c2EiUXLEpFC,Kabulasoke Subcounty,llfvfHywC2L,Kisozi Health Centre III GOVT,p.ug.DHIS2.KNuyUySHocg
2168999,kY1FdtodJ8R,Mawuki Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,I9I7WFHjAte,Gomba District,c2EiUXLEpFC,Kabulasoke Subcounty,kY1FdtodJ8R,Mawuki Health Centre II,p.ug.DHIS2.MGA4eDHuCG9
2151104,c2EiUXLEpFC,Kabulasoke Subcounty,6,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,I9I7WFHjAte,Gomba District,c2EiUXLEpFC,Kabulasoke Subcounty,,,p.ug.4.Kabulasoke Subcounty
2165217,lY7LAJy6w99,Gomba Kanoni Health Centre III GOVT,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,I9I7WFHjAte,Gomba District,kSS5AhCjmOo,Kanoni Town council (Gomba),lY7LAJy6w99,Gomba Kanoni Health Centre III GOVT,p.ug.DHIS2.XsLMulDu2aw
45154193,CfXCGNdvwfF,Kanoni Prison Clinic,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,I9I7WFHjAte,Gomba District,kSS5AhCjmOo,Kanoni Town council (Gomba),CfXCGNdvwfF,Kanoni Prison Clinic,
2151106,kSS5AhCjmOo,Kanoni Town council (Gomba),6,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,I9I7WFHjAte,Gomba District,kSS5AhCjmOo,Kanoni Town council (Gomba),,,p.ug.4.Kanoni Town council (Gomba)
2170250,s6HI2G13IrC,Kawerimidde Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,I9I7WFHjAte,Gomba District,GrWYZFXG04T,Kyegonza Subcounty,s6HI2G13IrC,Kawerimidde Health Centre II,p.ug.DHIS2.aRRsrxSesDy
2165449,FAq6KsJNw0H,Mamba Health Centre II,7,ybg3MO3hcf4,Global,KSkooYTy8FB,Africa,FETQ6OmnsKB,Uganda,fcXZBNIEKop,Central 1,I9I7WFHjAte,Gomba District,GrWYZFXG04T,Kyegonza Subcounty,FAq6KsJNw0H,Mamba Health Centre II,p.ug.DHIS2.SfqoAfHZm8l
